206	ba-ab-ti	OTHER
206	1(ban2)-ta	OTHER
205	…-x	OTHER
205	lugal-me-lam2	PN
205	erin2-na	OTHER
205	{d}nin-gesz-zi-da	OTHER
205	ad-da-kal-la	PN
204	szu-ku6	OTHER
204	nam	OTHER
204	lu2-me-lam2	PN
204	da	OTHER
203	nin-dingir	OTHER
203	husz-a	OTHER
203	{d}szul-pa-e3	OTHER
202	ka-guru7-ta	OTHER
202	du11-ga-ta	OTHER
201	gu7-a	OTHER
200	ur-am3-ma	PN
200	sze-KIN-ku5-ta	OTHER
200	szar2-ra-ab-du	OTHER
200	|PU3.SZA|-esz18-dar	PN
200	lu2-{d}ha-ia3	PN
199	zu2-lum-bi	OTHER
199	ur5-sze3	OTHER
198	ASZ	PN
197	ziz2-a	OTHER
197	si-mu-ru-um	GN
196	sza13-dub-ba-ka	PN
196	ki-ag2	OTHER
196	he2-na-ab-sum-mu	OTHER
195	ur-ba-gara2	PN
195	gi4-a	OTHER
195	{d}szul-gi-i3-li2	PN
194	gu2-na	OTHER
194	bi2-du11-ga	PN
194	ba-ug7	OTHER
193	{d}szul-gi-ra	OTHER
193	a-gu-gu	PN
191	ur-{d}ma-mi	PN
190	u3-tu-da	OTHER
190	e2-kiszib3-ba	OTHER
189	ur-ge6-par4	PN
189	lu2-{d}…	PN
188	du8-a	OTHER
188	{d}szul-gi-a-a-mu-ta	PN
188	bar-gal2	OTHER
187	x-ta	OTHER
187	nu2-a	OTHER
187	giri3-lam	OTHER
187	ba	OTHER
186	a-hu-a	PN
186	2(ban2)-ta	OTHER
185	ur-{d}dumu-zi	PN
185	la2-mah	PN
185	KU	OTHER
184	sza-asz-szu2-ru-um{ki}	GN
184	{d}nin-dar-a	OTHER
184	a-sza3-ga	OTHER
183	uru4-a	OTHER
183	lu2-sza-lim	PN
181	muru13	OTHER
181	gu-nigin2	OTHER
180	sikil	OTHER
180	nibru{ki}-ta	GN
180	lu2-banda3{da}	PN
180	gal-gal	OTHER
179	ur3-ra	OTHER
179	muszen	OTHER
179	bala-bi	OTHER
178	eme3	OTHER
177	ur-gi7	OTHER
177	ur-{d}hendur-sag	PN
177	lugal-{gesz}gigir-re	PN
176	x-sze3	PN
176	ur-mes-ta	PN
176	gazx(KUM)	OTHER
176	esz3-esz3	OTHER
176	e2-gal-sze3	OTHER
176	2(asz@t)-kam	OTHER
175	NI	OTHER
175	lu2-{d}en-lil2-la2	PN
174	siki-bi	OTHER
174	s,e-lu-usz-{d}da-gan	OTHER
174	{d}en-ki-ka	OTHER
173	{tug2}mug	OTHER
173	SZID	OTHER
173	kal	OTHER
173	gesz-ur3	OTHER
172	lu2-ga	PN
172	gesztin	OTHER
172	{d}utu-mu	PN
172	ba-a-hun	OTHER
171	ur-nigar{gar}-ta	PN
171	4(asz@t)-kam	OTHER
170	ur-ab-ba-ta	PN
170	ezem-{d}szu-{d}suen	OTHER
170	a-hu-we-er-ta	PN
170	1(disz)-a	OTHER
169	us2-sa	OTHER
169	ur-{d}nin-gir2-su	PN
169	NE-NE-gar	OTHER
169	ma-na-ta	OTHER
169	lu2-sag10	PN
169	giri3-ni	PN
